Stand,Fire frequency,Fire presence,Rep,Depth,mean ANF (ngN fixed/g dw/h)
F1,1,UB,A,0--10,1.184
F1,1,UB,A,10--30,0.927
F1,1,UB,B,0--10,0.804
F1,1,UB,B,10--30,1.092
F1,1,UB,C,0--10,1.309
F1,1,UB,C,10--30,0.482
F1,1,UB,D,0--10,0.711
F1,1,UB,D,10--30,0.856
F1,1,B,A,10--30,0.956
F1,1,B,B,0--10,1.367
F1,1,B,C,0--10,1.35
F1,1,B,C,10--30,0.978
F1,1,B,D,0--10,0.026
F1,1,B,D,10--30,0.273
F2,2,UB,A,0--10,1.78
F2,2,UB,A,10--30,0.279
F2,2,UB,B,10--30,0.517
F2,2,UB,C,0--10,1.63
F2,2,UB,C,10--30,0.647
F2,2,UB,D,0--10,1.48
F2,2,UB,D,10--30,1.144
F2,2,B,A,0--10,0.383
F2,2,B,A,10--30,0.767
F2,2,B,B,0--10,0.923
F2,2,B,B,10--30,0.516
F2,2,B,C,0--10,0.283
F2,2,B,C,10--30,1.41
F2,2,B,D,0--10,0.743
F2,2,B,D,10--30,0.376
F2b,2,UB,A,10--30,1.029
F2b,2,UB,B,0--10,0.691
F2b,2,UB,B,10--30,1.32
F2b,2,UB,C,0--10,0.625
F2b,2,UB,C,10--30,0.705
F2b,2,UB,D,0--10,1.035
F2b,2,UB,D,10--30,0.988
F2b,2,B,A,0--10,0.759
F2b,2,B,A,10--30,0.562
F2b,2,B,B,0--10,3.314
F2b,2,B,B,10--30,0.687
F2b,2,B,C,0--10,1.054
F2b,2,B,C,10--30,1.18
F2b,2,B,D,0--10,1.545
F2b,2,B,D,10--30,1.206
F4,4,UB,A,0--10,1.734
F4,4,UB,A,10--30,0.372
F4,4,UB,B,0--10,0.716
F4,4,UB,B,10--30,0.294
F4,4,UB,C,0--10,1.83
F4,4,UB,C,10--30,0.815
F4,4,UB,D,0--10,0.238
F4,4,UB,D,10--30,0.776
F4,4,B,A,0--10,1.158
F4,4,B,A,10--30,0.349
F4,4,B,B,0--10,0.526
F4,4,B,B,10--30,0.505
F4,4,B,C,0--10,0.631
F4,4,B,C,10--30,2.181
F4,4,B,D,0--10,0.208
F4,4,B,D,10--30,1.048
F5,5,UB,A,0--10,1.734
F5,5,UB,A,10--30,0.947
F5,5,UB,B,0--10,2.421
F5,5,UB,B,10--30,0.581
F5,5,UB,C,0--10,1.36
F5,5,UB,C,10--30,0.484
F5,5,UB,D,0--10,1.678
F5,5,UB,D,10--30,0.75
F5,5,B,A,0--10,1.499
F5,5,B,A,10--30,0.432
F5,5,B,B,0--10,1.441
F5,5,B,B,10--30,0.711
F5,5,B,C,0--10,0.713
F5,5,B,C,10--30,0.461
F5,5,B,D,0--10,0.586
F5,5,B,D,10--30,0.732