Stand,Fire frequency,Fire presence,Rep,Depth,mean ANF (ng N g dw h),CN (mass),M3-P (microg g),TC (g kg),TN (g kg)
F1,1,UB,A,0--10,1.184094626,29.63525257,34.97221942,263.4432473,8.889522594
F1,1,UB,A,10--30,0.926535109,5.807821224,2.624668053,48.77754113,8.398595489
F1,1,UB,B,0--10,0.804421277,30.85036504,4.666719256,106.7638229,3.460698852
F1,1,UB,B,10--30,1.092207726,18.58305923,14.01356799,85.17083087,4.583251326
F1,1,UB,C,0--10,1.308558289,32.75969436,68.26090085,248.9597107,7.59957367
F1,1,UB,C,10--30,0.482008757,7.012631137,11.5088804,49.67650911,7.083861697
F1,1,UB,D,0--10,0.710883389,32.61052702,32.78886357,241.1242831,7.394062751
F1,1,UB,D,10--30,0.85622874,26.21466228,3.143895246,105.2488384,4.014884389
F1,1,B,A,10--30,0.955630053,30.87630979,56.85528369,82.40185655,2.668772827
F1,1,B,B,0--10,1.366573519,31.14035204,42.4876946,231.1287298,7.42216175
F1,1,B,C,0--10,1.350048183,30.6364938,42.28384792,234.3629143,7.649795561
F1,1,B,C,10--30,0.977618798,24.95252454,84.90741429,109.9732392,4.40729911
F1,1,B,D,0--10,0.026300566,34.71821157,42.08000125,262.1776864,7.551589629
F1,1,B,D,10--30,0.27267714,43.9004689,28.8031531,47.37542162,1.079155253
F2,2,UB,A,0--10,1.780472468,39.41012132,28.06132787,306.218485,7.770046747
F2,2,UB,A,10--30,0.279041017,22.61891961,3.503682356,109.0452006,4.820972997
F2,2,UB,B,10--30,0.516878634,21.98911355,2.323027192,101.4195625,4.61226244
F2,2,UB,C,0--10,1.630189055,25.50742164,25.87241733,377.4108849,14.79612053
F2,2,UB,C,10--30,0.646555994,25.62937038,12.17268603,170.7723402,6.663150036
F2,2,UB,D,0--10,1.479905641,27.08589529,3.554666667,302.3307456,11.16192551
F2,2,UB,D,10--30,1.143748332,23.10321101,3.945543656,100.73,4.36
F2,2,B,A,0--10,0.382789397,24.93668247,4.127294194,324.8164907,13.02564971
F2,2,B,A,10--30,0.767269409,20.78973001,7.239171103,80.87762818,3.890268327
F2,2,B,B,0--10,0.922986527,26.9198761,19.99853855,298.4318624,11.08593001
F2,2,B,B,10--30,0.515874487,23.71358253,3.941209456,169.7552683,7.158566955
F2,2,B,C,0--10,0.28294689,25.8296765,3.705663471,363.5932856,14.0765714
F2,2,B,C,10--30,1.410048589,21.81081697,0.64324781,160.8558023,7.375047096
F2,2,B,D,0--10,0.742820764,28.13871977,13.92268893,350.5695456,12.45861746
F2,2,B,D,10--30,0.375885152,21.58864397,9.293652488,68.14511829,3.156526106
F2b,2,UB,A,10--30,1.028545392,18.8824039,18.43161407,64.72921245,3.428017577
F2b,2,UB,B,0--10,0.690723791,24.68784745,12.23005459,222.4463248,9.010357233
F2b,2,UB,B,10--30,1.320282388,18.80344593,1.282888971,70.31003507,3.739210108
F2b,2,UB,C,0--10,0.625119579,25.06806257,28.6211828,186.2791747,7.430936245
F2b,2,UB,C,10--30,0.705362169,16.44065831,3.833029806,32.81359292,1.995880718
F2b,2,UB,D,0--10,1.035308775,23.71413089,24.92112217,216.9712872,9.149451365
F2b,2,UB,D,10--30,0.987852988,21.28518501,5.310091313,62.88403491,2.95435698
F2b,2,B,A,0--10,0.759183673,24.06305665,22.22490515,209.7429276,8.716387559
F2b,2,B,A,10--30,0.561675724,17.81729935,7.570275658,37.46707572,2.102848192
F2b,2,B,B,0--10,3.31402381,24.48443046,17.09017127,166.104225,6.784075508
F2b,2,B,B,10--30,0.686782539,17.21057595,1.780540394,46.01903323,2.673881069
F2b,2,B,C,0--10,1.054132531,21.49453086,8.863341703,161.6162836,7.518949104
F2b,2,B,C,10--30,1.179769122,17.25048486,2.911049591,29.38412675,1.703379759
F2b,2,B,D,0--10,1.544664519,25.20045986,16.28592714,180.8789567,7.177605398
F2b,2,B,D,10--30,1.205976188,18.65347339,7.080045439,120.4860429,6.459174672
F4,4,UB,A,0--10,1.733774095,38.7041331,10.51925672,111.0576554,2.869400411
F4,4,UB,A,10--30,0.37187533,17.14965461,25.54504089,22.75602504,1.32690865
F4,4,UB,B,0--10,0.716368751,37.9224788,20.77411203,94.66342321,2.496235114
F4,4,UB,B,10--30,0.294401545,19.01726726,2.267267172,19.69364284,1.035566392
F4,4,UB,C,0--10,1.829858829,33.7572881,11.39306058,69.0678365,2.046012591
F4,4,UB,C,10--30,0.815207779,18.71903213,10.49773205,25.99083312,1.388470993
F4,4,UB,D,0--10,0.237868875,24.61738671,16.75850435,184.9142507,7.511530484
F4,4,UB,D,10--30,0.775799103,22.84254628,23.91425422,82.80194288,3.624899863
F4,4,B,A,0--10,1.158371772,20.89078584,15.18091882,140.3893178,6.720154948
F4,4,B,A,10--30,0.349271379,21.53885492,1.457526815,90.8829405,4.219488029
F4,4,B,B,0--10,0.525516655,23.97810404,5.315598785,151.3216635,6.310826883
F4,4,B,B,10--30,0.505193047,21.60282466,21.91737164,63.24781461,2.927756699
F4,4,B,C,0--10,0.630640095,23.62809843,26.31527978,195.2516976,8.263538355
F4,4,B,C,10--30,2.181009901,20.50128052,0.54413799,122.2257013,5.961856927
F4,4,B,D,0--10,0.208031859,22.70922952,13.9118779,114.897042,5.059486579
F4,4,B,D,10--30,1.048423867,20.1204647,3.372983008,102.0895491,5.073916066
F5,5,UB,A,0--10,1.734150829,25.41849194,44.95833585,160.82537,6.327101168
F5,5,UB,A,10--30,0.946730643,23.3703727,21.87245818,106.8506483,4.57205581
F5,5,UB,B,0--10,2.421371661,30.87100345,38.23866807,164.5073527,5.328863151
F5,5,UB,B,10--30,0.581041636,17.01680395,5.533954617,21.55540292,1.266712773
F5,5,UB,C,0--10,1.359854905,25.84319717,27.92062454,240.0125459,9.287262108
F5,5,UB,C,10--30,0.483888036,22.20727558,7.912153316,90.69649478,4.084089219
F5,5,UB,D,0--10,1.678402262,23.55303894,27.5502573,193.6719724,8.222801859
F5,5,UB,D,10--30,0.75044019,23.52147575,28.29997958,126.0133597,5.357374725
F5,5,B,A,0--10,1.499180317,8.283076423,32.38913545,87.81435795,10.60165975
F5,5,B,A,10--30,0.431913117,14.00461051,10.88012002,13.30388937,0.949964968
F5,5,B,B,0--10,1.440783907,11.71930391,39.56598913,126.3769415,10.78365596
F5,5,B,B,10--30,0.710773297,6.750632123,11.16209892,28.79826909,4.266010733
F5,5,B,C,0--10,0.712548391,19.59447535,20.35275937,65.19277916,3.327100012
F5,5,B,C,10--30,0.460564317,15.69825814,3.96897534,16.27295925,1.036609228
F5,5,B,D,0--10,0.585572109,23.15330633,36.63196108,57.29328973,2.474518711
F5,5,B,D,10--30,0.73220849,6.195731331,2.777476871,18.77184335,3.029802674